year,symbol,marketCap,NetIncomeLoss,OperatingIncomeLoss,ResearchAndDevelopmentExpense,GeneralAndAdministrativeExpense,Revenues,CostOfGoodsSold,SalesRevenueGoodsNet,SalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,NetCashProvidedByUsedInOperatingActivities,CommonStockValue,CashAndCashEquivalentsAtCarryingValue,operatingMargin
2020,ANIX,56.85663,,,,,,,,,,,,,
2015,ANPC,,,,,,,,,,,,,,
2016,ANPC,,,,,,,,,,,,,,
2017,ANPC,,,,,,,,,,,,,,
2018,ANPC,,,,,,,,,,,,,,
2019,ANPC,,,,,,,,,,,,,,
2020,ANPC,0.0,,,,,,,,,,,,,
2015,ANVS,,,,,,,,,,,,,,
2016,ANVS,,,,,,,,,,,,,,
2017,ANVS,,,,,,,,,,,,,,
2018,ANVS,,,,,,,,,,,,,,
2019,ANVS,,,,,,,,,,,,,,
2020,ANVS,34.8137,,,,,,,,,,,,,
2015,APLS,,,,,,,,,,,,,,
2016,APLS,,,,,,,,,,,,,,
2017,APLS,,-51006094.0,-50767029.0,,10463151.0,,,,,,,,175643529.0,
2018,APLS,,-127502194.0,-127924760.0,105285576.0,22639184.0,,,,,,-131240797.0,,,
2019,APLS,,304706613.0,288015253.0,220968770.0,67046483.0,,,,,1693322.0,211135445.0,,,
2020,APLS,2706.623,,,,,,,,,,,,,
2015,APLT,,,,,,,,,,,,,,
2016,APLT,,,,,,,,,,,,,,
2017,APLT,,,,,,,,,,,,,,
2018,APLT,,,,,,,,,,,,,,
2019,APLT,,-45513000.0,,,,,,,,,-36307000.0,,,
2020,APLT,506.5916,,,,,,,,,,,,,
2015,APM,,,,,,,,,,,,,,
2016,APM,,,,,,,,,,,,,,
2017,APM,,,,,,,,,,,,,,
2018,APM,,,,,,,,,,,,,,-26.9347
2019,APM,,,,,,,,,,,,,,-31.7655
2020,APM,76.52705,,,,,,,,,,,,,
2015,APRE,,,,,,,,,,,,,,
2016,APRE,,,,,,,,,,,,,,
2017,APRE,,,,,,,,,,,,,,
2018,APRE,,,,,,,,,,,,,,
2019,APRE,,-28059807.0,,20950672.0,8593626.0,,,,,30901.0,-26708707.0,,,
2020,APRE,567.3832,,,,,,,,,,,,,
2015,APTO,,,,,,,,,,,,,,
2016,APTO,,,,,,,,,,,,,,
2017,APTO,,,,,,,,,,,,,,
2018,APTO,,-28868000.0,,18733000.0,10374000.0,,,,,329000.0,-23207000.0,261072000.0,15299000.0,
2019,APTO,,-26277000.0,,,,,,,,102000.0,-21558000.0,,,
2020,APTO,673.8263,,,,,,,,,,,,,
2015,APTX,,,,,,,,,,,,,,
2016,APTX,,,,,,,,,,,,,,-1.8093
2017,APTX,,,,,,,,,,,,,,-6.496
2018,APTX,,-53281000.0,-54888000.0,48788000.0,12674000.0,,,,,407000.0,-47448000.0,,,-8.3493
